UNH ID #,samplename ,Collection Date,Collection Time,Project,Sub_Project,NPOC (mg C/L),TDN (mg N/L),NH4 (ug N/L),PO4 (ug P/L),Cl (mg Cl/L),NO3 (mg N/L),SO4 (mg S/L),Sub_ProjectA,Sub_ProjectB,Field Notes,Lab_Notes
198060,129,12-Jul-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF6,for DOC/TDN analysis,
198061,135,12-Jul-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF7,for DOC/TDN analysis,
198062,132,13-Jul-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF10,for DOC/TDN analysis,
198063,63,13-Jul-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF10,for DOC/TDN analysis,
198064,58,13-Jul-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF11,for DOC/TDN analysis,
198065,128,13-Jul-23,,QuEST,New Mexico,,,,,,,,Sante Fe Watershed,USF9,for DOC/TDN analysis,
198066,49,02-Aug-23,,QuEST,New Mexico,2.51,0.30,,,,,,Sante Fe Watershed,USF12,for DOC/TDN analysis,
198067,136,02-Aug-23,,QuEST,New Mexico,2.39,0.33,,,,,,Sante Fe Watershed,USF3,for DOC/TDN analysis,
198068,62,02-Aug-23,,QuEST,New Mexico,2.17,0.36,,,,,,Sante Fe Watershed,USF5,for DOC/TDN analysis,
198069,87,02-Aug-23,,QuEST,New Mexico,2.19,0.39,,,,,,Sante Fe Watershed,USF6,for DOC/TDN analysis,
198070,67,02-Aug-23,,QuEST,New Mexico,4.39,0.71,,,,,,Sante Fe Watershed,USF7,for DOC/TDN analysis,
198071,34,03-Aug-23,,QuEST,New Mexico,3.06,0.16,,,,,,Sante Fe Watershed,USF13,for DOC/TDN analysis,
198072,120,03-Aug-23,,QuEST,New Mexico,2.56,0.29,,,,,,Sante Fe Watershed,USF14,for DOC/TDN analysis,
198073,127,03-Aug-23,,QuEST,New Mexico,2.15,0.18,,,,,,Sante Fe Watershed,USF15,for DOC/TDN analysis,
198074,86,03-Aug-23,,QuEST,New Mexico,2.56,0.13,,,,,,Sante Fe Watershed,USF16,for DOC/TDN analysis,
198075,125,06-Sep-23,,QuEST,New Mexico,2.15,0.29,,,,,,Sante Fe Watershed,USF12,for DOC/TDN analysis,
198076,184,06-Sep-23,,QuEST,New Mexico,2.19,0.24,,,,,,Sante Fe Watershed,USF12,for DOC/TDN analysis,
198077,180,06-Sep-23,,QuEST,New Mexico,1.98,0.31,,,,,,Sante Fe Watershed,USF3,for DOC/TDN analysis,
198078,187,06-Sep-23,,QuEST,New Mexico,2.16,0.36,,,,,,Sante Fe Watershed,USF3,for DOC/TDN analysis,
